id,rating,review,split
1,negative,overpriced food with terrible taste .,train
2,negative,waiting time was extremely long for a simple order .,val
3,negative,waiting time was extremely long for a simple order .,train
4,negative,the table was sticky and the cutlery was dirty .,val
5,positive,quick delivery and fresh ingredients .,train
6,positive,great flavors and perfect portion sizes .,test
7,positive,highly recommend this restaurant to everyone .,val
8,positive,delicious meal and a wonderful experience overall .,train
9,negative,the place was dirty and poorly maintained .,train
10,negative,portion sizes were very small for the price .,val
11,positive,"absolutely loved this place , will visit again .",test
12,negative,the place was dirty and poorly maintained .,test
13,positive,highly recommend this restaurant to everyone .,train
14,negative,burger was soggy and had no flavor .,test
15,positive,delicious meal and a wonderful experience overall .,test
16,positive,the desserts were amazing and beautifully presented .,train
17,positive,highly recommend this restaurant to everyone .,test
18,negative,the table was sticky and the cutlery was dirty .,val
19,positive,"absolutely loved this place , will visit again .",val
20,positive,"clean place , good service , and tasty food .",val
21,positive,the desserts were amazing and beautifully presented .,val
22,negative,overpriced food with terrible taste .,train
23,negative,the food arrived cold and tasteless .,val
24,negative,"really bad experience , would not recommend .",test
25,negative,very disappointed with the service here .,train
26,positive,the food was excellent and the service was quick .,test
27,positive,highly recommend this restaurant to everyone .,train
28,negative,waiting time was extremely long for a simple order .,test
29,negative,the food arrived cold and tasteless .,test
30,negative,waiting time was extremely long for a simple order .,test
31,negative,burger was soggy and had no flavor .,train
32,negative,very disappointed with the service here .,val
33,negative,the food arrived cold and tasteless .,train
34,positive,the food was excellent and the service was quick .,val
35,negative,"really bad experience , would not recommend .",val
36,negative,portion sizes were very small for the price .,test
37,negative,"really bad experience , would not recommend .",test
38,positive,"clean place , good service , and tasty food .",test
39,negative,"really bad experience , would not recommend .",train
40,positive,overall a fantastic dining experience .,val
41,negative,"really bad experience , would not recommend .",val
42,positive,"absolutely loved this place , will visit again .",train
43,negative,burger was soggy and had no flavor .,val
44,negative,burger was soggy and had no flavor .,test
45,negative,portion sizes were very small for the price .,test
46,positive,highly recommend this restaurant to everyone .,train
47,positive,the ambience was great and the staff were friendly .,test
48,negative,overpriced food with terrible taste .,test
